INSERT INTO clientes VALUES(10, 'tosedugu', 'tosedugu@gmail.com');
INSERT INTO clientes VALUES(11, 'quade', 'quade@gmail.com');
INSERT INTO clientes VALUES(12, 'gepituyu', 'gepituyu@gmail.com');
INSERT INTO clientes VALUES(13, 'xuko', 'xuko@gmail.com');
INSERT INTO clientes VALUES(14, 'tusu', 'tusu@gmail.com');
INSERT INTO clientes VALUES(15, 'chifu', 'chifu@gmail.com');
INSERT INTO clientes VALUES(16, 'gaquowiquilhu', 'gaquowiquilhu@gmail.com');
INSERT INTO clientes VALUES(17, 'quororrebo', 'quororrebo@gmail.com');
INSERT INTO clientes VALUES(18, 'chelhe', 'chelhe@gmail.com');
INSERT INTO clientes VALUES(19, 'tabecuhu', 'tabecuhu@gmail.com');
INSERT INTO clientes VALUES(20, 'nhonipi', 'nhonipi@gmail.com');
INSERT INTO clientes VALUES(21, 'wuhuquohaca', 'wuhuquohaca@gmail.com');
INSERT INTO clientes VALUES(22, 'ssalemedonhi', 'ssalemedonhi@gmail.com');
INSERT INTO clientes VALUES(23, 'quixupo', 'quixupo@gmail.com');
INSERT INTO clientes VALUES(24, 'fafihevulo', 'fafihevulo@gmail.com');
INSERT INTO clientes VALUES(25, 'chejiga', 'chejiga@gmail.com');
INSERT INTO clientes VALUES(26, 'xeboxofi', 'xeboxofi@gmail.com');
INSERT INTO clientes VALUES(27, 'yitiwe', 'yitiwe@gmail.com');
INSERT INTO clientes VALUES(28, 'mixakajirro', 'mixakajirro@gmail.com');
INSERT INTO clientes VALUES(29, 'pulhujicho', 'pulhujicho@gmail.com');
INSERT INTO clientes VALUES(30, 'quorimocidi', 'quorimocidi@gmail.com');
INSERT INTO clientes VALUES(31, 'menalhe', 'menalhe@gmail.com');
INSERT INTO clientes VALUES(32, 'hepihepe', 'hepihepe@gmail.com');
INSERT INTO clientes VALUES(33, 'chalhu', 'chalhu@gmail.com');
INSERT INTO clientes VALUES(34, 'gerruha', 'gerruha@gmail.com');
INSERT INTO clientes VALUES(35, 'lhekocimo', 'lhekocimo@gmail.com');
INSERT INTO clientes VALUES(36, 'mikape', 'mikape@gmail.com');
INSERT INTO clientes VALUES(37, 'xafotilho', 'xafotilho@gmail.com');
INSERT INTO clientes VALUES(38, 'lhikuxiwawa', 'lhikuxiwawa@gmail.com');
INSERT INTO clientes VALUES(39, 'nofaxo', 'nofaxo@gmail.com');
INSERT INTO clientes VALUES(40, 'quifa', 'quifa@gmail.com');
INSERT INTO clientes VALUES(41, 'lhoyiyu', 'lhoyiyu@gmail.com');
INSERT INTO clientes VALUES(42, 'rrejilhuxova', 'rrejilhuxova@gmail.com');
INSERT INTO clientes VALUES(43, 'rrata', 'rrata@gmail.com');
INSERT INTO clientes VALUES(44, 'cedi', 'cedi@gmail.com');
INSERT INTO clientes VALUES(45, 'lihironu', 'lihironu@gmail.com');
INSERT INTO clientes VALUES(46, 'puquamassu', 'puquamassu@gmail.com');
INSERT INTO clientes VALUES(47, 'roli', 'roli@gmail.com');
INSERT INTO clientes VALUES(48, 'tayijo', 'tayijo@gmail.com');
INSERT INTO clientes VALUES(49, 'ssajuguco', 'ssajuguco@gmail.com');
INSERT INTO clientes VALUES(50, 'cidogalhawo', 'cidogalhawo@gmail.com');
INSERT INTO clientes VALUES(51, 'necaquo', 'necaquo@gmail.com');
INSERT INTO clientes VALUES(52, 'velhussatu', 'velhussatu@gmail.com');
INSERT INTO clientes VALUES(53, 'jecharape', 'jecharape@gmail.com');
INSERT INTO clientes VALUES(54, 'nhoru', 'nhoru@gmail.com');
INSERT INTO clientes VALUES(55, 'geva', 'geva@gmail.com');
INSERT INTO clientes VALUES(56, 'newihi', 'newihi@gmail.com');
INSERT INTO clientes VALUES(57, 'nhalha', 'nhalha@gmail.com');
INSERT INTO clientes VALUES(58, 'gohaquocuchi', 'gohaquocuchi@gmail.com');
INSERT INTO clientes VALUES(59, 'wepede', 'wepede@gmail.com');
INSERT INTO clientes VALUES(60, 'yutiyutu', 'yutiyutu@gmail.com');
INSERT INTO clientes VALUES(61, 'kuvaquulhoci', 'kuvaquulhoci@gmail.com');
INSERT INTO clientes VALUES(62, 'kequowe', 'kequowe@gmail.com');
INSERT INTO clientes VALUES(63, 'rralepessa', 'rralepessa@gmail.com');
INSERT INTO clientes VALUES(64, 'chave', 'chave@gmail.com');
INSERT INTO clientes VALUES(65, 'licedopo', 'licedopo@gmail.com');
INSERT INTO clientes VALUES(66, 'getakuwegi', 'getakuwegi@gmail.com');
INSERT INTO clientes VALUES(67, 'vexaquirrevi', 'vexaquirrevi@gmail.com');
INSERT INTO clientes VALUES(68, 'xavoberure', 'xavoberure@gmail.com');
INSERT INTO clientes VALUES(69, 'puva', 'puva@gmail.com');
INSERT INTO clientes VALUES(70, 'kejusi', 'kejusi@gmail.com');
INSERT INTO clientes VALUES(71, 'honizuzanhe', 'honizuzanhe@gmail.com');
INSERT INTO clientes VALUES(72, 'furu', 'furu@gmail.com');
INSERT INTO clientes VALUES(73, 'widiso', 'widiso@gmail.com');
INSERT INTO clientes VALUES(74, 'rruroyavadu', 'rruroyavadu@gmail.com');
INSERT INTO clientes VALUES(75, 'lissacakuquu', 'lissacakuquu@gmail.com');
INSERT INTO clientes VALUES(76, 'quehofawi', 'quehofawi@gmail.com');
INSERT INTO clientes VALUES(77, 'lochi', 'lochi@gmail.com');
INSERT INTO clientes VALUES(78, 'rrigodeja', 'rrigodeja@gmail.com');
INSERT INTO clientes VALUES(79, 'bikavaki', 'bikavaki@gmail.com');
INSERT INTO clientes VALUES(80, 'rrixokichuwu', 'rrixokichuwu@gmail.com');
INSERT INTO clientes VALUES(81, 'pojefape', 'pojefape@gmail.com');
INSERT INTO clientes VALUES(82, 'juta', 'juta@gmail.com');
INSERT INTO clientes VALUES(83, 'vafoxulha', 'vafoxulha@gmail.com');
INSERT INTO clientes VALUES(84, 'sepachifidi', 'sepachifidi@gmail.com');
INSERT INTO clientes VALUES(85, 'kucha', 'kucha@gmail.com');
INSERT INTO clientes VALUES(86, 'lhiwoyevote', 'lhiwoyevote@gmail.com');
INSERT INTO clientes VALUES(87, 'kobotu', 'kobotu@gmail.com');
INSERT INTO clientes VALUES(88, 'tuxa', 'tuxa@gmail.com');
INSERT INTO clientes VALUES(89, 'bakevosso', 'bakevosso@gmail.com');
INSERT INTO clientes VALUES(90, 'tabuhe', 'tabuhe@gmail.com');
